id,symbol,price_change_24h,price_change_percentage_24h
bitcoin,btc,1.45,0.00123
ethereum,eth,32.95,0.87459
ripple,xrp,0.01856891,0.59535
tether,usdt,-0.000168868111499854,-0.01689
binancecoin,bnb,-18.282047449778815,-2.20978
solana,sol,-0.672486211082969,-0.36915
usd-coin,usdc,9.16e-06,0.00092
staked-ether,steth,27.42,0.72805
dogecoin,doge,-0.000416373617512317,-0.18464
tron,trx,0.01454353,4.50069
cardano,ada,-0.002010035117895881,-0.2549
wrapped-steth,wsteth,28.2,0.61784
wrapped-bitcoin,wbtc,114.66,0.0975
hyperliquid,hype,-0.3971174987847945,-0.91076
stellar,xlm,0.0040205,0.96029
sui,sui,-0.1083004378694965,-2.75696
chainlink,link,-0.1888848544701034,-1.04518
wrapped-beacon-eth,wbeth,12.59,0.30975
bitcoin-cash,bch,-13.640868186225134,-2.34799
hedera-hashgraph,hbar,-0.004423270965088988,-1.65009
wrapped-eeth,weeth,8.35,0.20656
avalanche-2,avax,-0.3828232247558958,-1.54504
weth,weth,25.53,0.67662
litecoin,ltc,0.484417,0.44606
leo-token,leo,-0.00547151674613211,-0.06102
the-open-network,ton,0.160671,4.99482
ethena-usde,usde,0.00033375,0.03337
shiba-inu,shib,-2.13772381839e-07,-1.60293
usds,usds,0.00011288,0.01129
binance-bridged-usdt-bnb-smart-chain,bsc-usd,-0.000675302323337013,-0.06753
coinbase-wrapped-btc,cbbtc,67.51,0.05724
whitebit,wbt,0.0475297,0.10792
uniswap,uni,-0.02268824828555438,-0.21815
polkadot,dot,-0.05605727640247071,-1.4166
monero,xmr,-3.4373678377435795,-1.07751
bitget-token,bgb,-0.03381716239844845,-0.74019
pepe,pepe,-3.66674870201e-07,-3.0845
crypto-com-chain,cro,0.00477694,3.41836
ethena-staked-usde,susde,0.00023106,0.01948
aave,aave,-5.129715721764342,-1.78211
dai,dai,-0.000197784071990448,-0.01978
ethena,ena,-0.03280365715705047,-5.35723
bittensor,tao,-17.175512109731585,-4.29717
near,near,0.01142205,0.42126
ethereum-classic,etc,-0.06988554421420545,-0.31949
pi-network,pi,-0.011672408200413875,-2.65755
aptos,apt,-0.0532989009837852,-1.15111
ondo-finance,ondo,-0.027262014872618257,-2.76943
internet-computer,icp,-0.06081766360592589,-1.10161
jito-staked-sol,jitosol,-0.6955981043567192,-0.31301
